direction,source_claim_id,source_chunk_id,source_doc_id,source_country,source_topic_space,source_topic,source_topic_code,source_relation_type,source_claim,source_excerpt,matched_claim_id,matched_chunk_id,matched_topic_space,matched_topic,matched_topic_code,matched_claim,matched_excerpt,top1_similarity,topk_mean_similarity,coverage_deficit,embedding_method,below_calibrated_threshold,coverage_threshold,threshold_method,within_topic_rank
sentiment_to_policy,sentiment_claim_00088,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0048,sentiment_original_051024_insights_into_ai_and_the_youth_sector,other,sentiment,0,S0,causes_or_increases,"The Block by Block Foundation is an organisation tapping into this potential and it has created a new methodology to engage young people, as well as other social groups, by using one of the most popular online games, Minecraft.","The Block by Block Foundation is an organisation tapping into this potential and it has created a new methodology to engage young people, as well as other social groups, by using one of the most popular online games, Minecraft.",policy_claim_02427,policy_digital_strategy_for_schools_to_2027_chunk_0091,policy,5,P5,"A Webwise Parents Hub and a Youth Hub are also available with an extensive array of resources and supports that give practical information and advice on key issues such as respec tf ul online communication, ethical use of digital technologies, cyberbullying, image sharing, social media, popular applications and websites and more.","A Webwise Parents Hub and a Youth Hub are also available with an extensive array of resources and supports that give practical information and advice on key issues such as respec tf ul online communication, ethical use of digital technologies, cyberbullying, image sharing, social media, popular applications and websites and more.",0.42723608016967773,0.4261454641819,0.5738545358181,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
sentiment_to_policy,sentiment_claim_00486,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0019,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn,other,sentiment,5,S5,causes_or_increases,"However, in the case of Germany, the research participants were recruited exclusively from the federal state of Baden-Württemberg, due to the country's complex federal structure and the significant differences in education systems across its 16 federal states.","However, in the case of Germany, the research participants were recruited exclusively from the federal state of Baden-Württemberg, due to the country's complex federal structure and the significant differences in education systems across its 16 federal states.",policy_claim_03273,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique_chunk_0089,policy,2,P2,"À l'international, les partenariats entre établissements scolaires et universités sont souvent encouragés, comme en Slovénie 34 , en Autriche 35 ou encore en Israël 36 où la coopération entre praticiens et chercheurs est renforcée par la présence de développeurs de solutions techniques et commerciales.","À l'international, les partenariats entre établissements scolaires et universités sont souvent encouragés, comme en Slovénie 34 , en Autriche 35 ou encore en Israël 36 où la coopération entre praticiens et chercheurs est renforcée par la présence de développeurs de solutions techniques et commerciales.",0.4550071358680725,0.42799076437950134,0.5720092356204987,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
policy_to_sentiment,policy_claim_02299,policy_digital_strategy_for_schools_to_2027_chunk_0041,policy_digital_strategy_for_schools_to_2027,ireland,policy,5,P5,enables_or_supports,The PDST has a dedicated Technology in Education Team (PDST TiE) and a team of digital technology advisers who will continue to develop and facilitate flexible differentiated models of TPL.,The PDST has a dedicated Technology in Education Team (PDST TiE) and a team of digital technology advisers who will continue to develop and facilitate flexible differentiated models of TPL.,sentiment_claim_00178,sentiment_original_ai4t_wp3_d3_3_nr_ireland_chunk_0006,sentiment,5,S5,During the two online webinars the content of the MOOC was discussed and facilitated by a member of the PDST facilitation team to deepen understandings of the MOOC content and discuss usage of the AI tools being used in the classrooms (Duolingo and Photomath).,During the two online webinars the content of the MOOC was discussed and facilitated by a member of the PDST facilitation team to deepen understandings of the MOOC content and discuss usage of the AI tools being used in the classrooms (Duolingo and Photomath).,0.4380139112472534,0.4298524558544159,0.5701475441455841,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
policy_to_sentiment,policy_claim_02062,policy_ai_to_support_learning_and_teaching_in_the_re_classroom_chunk_0012,policy_ai_to_support_learning_and_teaching_in_the_re_classroom,ireland,policy,3,P3,causes_or_increases,"Content: definition, examples and role of ritual TPACK: student creates a short video clip/infographic explaining elements and role of ritual with examples.","Content: definition, examples and role of ritual TPACK: student creates a short video clip/infographic explaining elements and role of ritual with examples.",sentiment_claim_00728,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025_chunk_0032,sentiment,2,S2,It is used to generate content for teaching: creating images and slides for class presentations; generating worksheets and quizzes or tongue twisters; creating summary sheets from existing resources; creating templates.,It is used to generate content for teaching: creating images and slides for class presentations; generating worksheets and quizzes or tongue twisters; creating summary sheets from existing resources; creating templates.,0.473541259765625,0.4325694739818573,0.5674305260181427,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
sentiment_to_policy,sentiment_claim_00240,sentiment_original_ai4t_wp3_d3_3_nr_ireland_chunk_0068,sentiment_original_ai4t_wp3_d3_3_nr_ireland,ireland,sentiment,1,S1,enables_or_supports,Photomath specific prompts but how this also helped them to clarify their own thoughts.,Photomath specific prompts but how this also helped them to clarify their own thoughts.,policy_claim_02863,policy_guidance_on_artificial_intelligence_in_schools_2025_chunk_0026,policy,5,P5,The images are intended to provide visual support for engagement and comprehension.,The images are intended to provide visual support for engagement and comprehension.,0.4876512289047241,0.4555312693119049,0.5444687306880951,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
sentiment_to_policy,sentiment_claim_00385,sentiment_original_artificial_intelligence_in_classrooms_qa0126065enn_chunk_0008,sentiment_original_artificial_intelligence_in_classrooms_qa0126065enn,other,sentiment,3,S3,enables_or_supports,"For example, it is well known that most GenAI systems were refined based on the involvement of poorly-paid workers in some global south countries, who were exposed to the systems' original uncensored and often deplorable outputs, so that the developers could put 'guardrails' in place to prevent the public from seeing similar outputs.","For example, it is well known that most GenAI systems were refined based on the involvement of poorly-paid workers in some global south countries, who were exposed to the systems' original uncensored and often deplorable outputs, so that the developers could put 'guardrails' in place to prevent the public from seeing similar outputs.",policy_claim_02152,policy_developing_policy_and_protocols_for_the_use_of_generative_ai_in_k_12_classrooms_march_2025_chunk_0010,policy,7,P7,"GenAI has brought about novel forms of abuse and harassment, especially in the form of synthetic media (e.g.","GenAI has brought about novel forms of abuse and harassment, especially in the form of synthetic media (e.g.",0.4702063798904419,0.4607301652431488,0.5392698347568512,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
sentiment_to_policy,sentiment_claim_00616,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0073,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn,other,sentiment,1,S1,requires_or_depends_on,"Well, I just want to know, tell me what you need to know how to do.","Well, I just want to know, tell me what you need to know how to do.",policy_claim_03079,policy_guidetoaiinschools_chunk_0082,policy,0,P0,And so you need to know how to adapt to it.,And so you need to know how to adapt to it.,0.5456240773200989,0.4613868296146393,0.5386131703853607,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
sentiment_to_policy,sentiment_claim_00683,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025_chunk_0001,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025,ireland,sentiment,2,S2,enables_or_supports,"Those 567 responses were omitted from the analysis, and the remaining 1,229 responses were considered as a total 100% for the purpose of the analysis.","Those 567 responses were omitted from the analysis, and the remaining 1,229 responses were considered as a total 100% for the purpose of the analysis.",policy_claim_03436,policy_men_dne_brochure_ia_2024_uk_web_chunk_0053,policy,0,P0,Arguments and data that supported the responses.,Arguments and data that supported the responses.,0.49785396456718445,0.461566686630249,0.538433313369751,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
sentiment_to_policy,sentiment_claim_00157,sentiment_original_3remittancesreview_volume8_issue4saajdmalakand_chunk_0012,sentiment_original_3remittancesreview_volume8_issue4saajdmalakand,other,sentiment,6,S6,reduces_or_prevents,"First, the sample size from each city was restricted to 30 participants, which could limit the generalizability of the findings to a broader population.","First, the sample size from each city was restricted to 30 participants, which could limit the generalizability of the findings to a broader population.",policy_claim_02924,policy_guidance_on_artificial_intelligence_in_schools_2025_chunk_0047,policy,6,P6,Are there procedures in place to limit access to the data only to those who need it?,Are there procedures in place to limit access to the data only to those who need it?,0.4804494380950928,0.4631401598453522,0.5368598401546478,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
sentiment_to_policy,sentiment_claim_00337,sentiment_original_ai_views_of_youth_workers_chunk_0022,sentiment_original_ai_views_of_youth_workers,other,sentiment,4,S4,causes_or_increases,"For 6 years, the algorithm wrongly identified families as fraudsters leading to a thousand children being taken to foster care (Heikilla, 2022).","For 6 years, the algorithm wrongly identified families as fraudsters leading to a thousand children being taken to foster care (Heikilla, 2022).",policy_claim_03207,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique_chunk_0027,policy,2,P2,La priorité donnée à la détection de la fraude occulte la nécessité plus prioritaire de développer une éducation pour une pratique éthique de l'IA La question de la détection de la fraude n'est pas simple.,La priorité donnée à la détection de la fraude occulte la nécessité plus prioritaire de développer une éducation pour une pratique éthique de l'IA La question de la détection de la fraude n'est pas simple.,0.4831348955631256,0.463521271944046,0.536478728055954,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
sentiment_to_policy,sentiment_claim_00493,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0025,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn,other,sentiment,3,S3,enables_or_supports,All interviews and focus groups followed a strict protocol to ensure comparability and scientific rigour.,All interviews and focus groups followed a strict protocol to ensure comparability and scientific rigour.,policy_claim_02200,policy_digital_strategy_for_schools_to_2027_chunk_0004,policy,5,P5,This Strategy aims to ensure this happens effectively for all learners.,This Strategy aims to ensure this happens effectively for all learners.,0.4921487867832184,0.4637068808078766,0.5362931191921234,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
sentiment_to_policy,sentiment_claim_00242,sentiment_original_ai4t_wp3_d3_3_nr_ireland_chunk_0068,sentiment_original_ai4t_wp3_d3_3_nr_ireland,ireland,sentiment,1,S1,requires_or_depends_on,So you do need to be extremely specific - what you type in as to what exactly you're looking for.,So you do need to be extremely specific - what you type in as to what exactly you're looking for.,policy_claim_03100,policy_guidetoaiinschools_chunk_0091,policy,0,P0,What you'll find is a timely compilation of relevant questions and divergent perspectives that can help you kickstart or continue the work that lies ahead for your institution in response to the most game-changing arrival technology of our generation.',What you'll find is a timely compilation of relevant questions and divergent perspectives that can help you kickstart or continue the work that lies ahead for your institution in response to the most game-changing arrival technology of our generation.',0.5014106035232544,0.4653710424900055,0.5346289575099945,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
sentiment_to_policy,sentiment_claim_00164,sentiment_original_3remittancesreview_volume8_issue4saajdmalakand_chunk_0022,sentiment_original_3remittancesreview_volume8_issue4saajdmalakand,other,sentiment,6,S6,causes_or_increases,"In contrast, the mean fear score is significantly higher at 4.5, with a mode of 5, revealing a heightened sense of apprehension.","In contrast, the mean fear score is significantly higher at 4.5, with a mode of 5, revealing a heightened sense of apprehension.",policy_claim_03346,policy_l_intelligence_artificielle_en_ducation_cadre_d_usage_et_de_confiance_chunk_0014,policy,2,P2,Le flou de l'instruction accroît les risques de voir l'outil insérer des biais dans la réponse générée.,Le flou de l'instruction accroît les risques de voir l'outil insérer des biais dans la réponse générée.,0.5225600004196167,0.4748043119907379,0.5251956880092621,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
sentiment_to_policy,sentiment_claim_00082,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0044,sentiment_original_051024_insights_into_ai_and_the_youth_sector,other,sentiment,4,S4,causes_or_increases,Many of the youth ambassadors are supported in joining the European and global IGF to increase the impact of their work.,Many of the youth ambassadors are supported in joining the European and global IGF to increase the impact of their work.,policy_claim_02408,policy_digital_strategy_for_schools_to_2027_chunk_0080,policy,5,P5,This blended learning approach continues to increase in prominence across Europe and globally.,This blended learning approach continues to increase in prominence across Europe and globally.,0.4927403926849365,0.48131000995635986,0.5186899900436401,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
sentiment_to_policy,sentiment_claim_00168,sentiment_original_3remittancesreview_volume8_issue4saajdmalakand_chunk_0023,sentiment_original_3remittancesreview_volume8_issue4saajdmalakand,other,sentiment,6,S6,causes_or_increases,"Job Security Discourse: The lexicon deployed within this thematic concern is saturated with affective terms such as 'unemployment,' 'job insecurity,' and 'redundancy,' amplifying the level of exigency surrounding the issue.","Job Security Discourse: The lexicon deployed within this thematic concern is saturated with affective terms such as 'unemployment,' 'job insecurity,' and 'redundancy,' amplifying the level of exigency surrounding the issue.",policy_claim_01522,policy_ai_policy_considerations_for_schools_and_mats_chunk_0006,policy,7,P7,Example wording: Staff are expected to engage with guidance and raise concerns where they are unsure about appropriate AI use.,Example wording: Staff are expected to engage with guidance and raise concerns where they are unsure about appropriate AI use.,0.48985910415649414,0.4850268065929413,0.5149731934070587,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
sentiment_to_policy,sentiment_claim_00353,sentiment_original_ai_views_of_youth_workers_chunk_0035,sentiment_original_ai_views_of_youth_workers,other,sentiment,4,S4,enables_or_supports,4.3 Case study : Tactical Tech Data Detox X Youth Data Detox x Youth is an activity book to help young people take control of their tech.,4.3 Case study : Tactical Tech Data Detox X Youth Data Detox x Youth is an activity book to help young people take control of their tech.,policy_claim_03498,policy_oco_ai_policy_spotlight_report_chunk_0022,policy,1,P1,The report sought to advance understanding of youth perspectives towards AI mechanisms and platform tools targeting cyberbullying and online forms of abuse.,The report sought to advance understanding of youth perspectives towards AI mechanisms and platform tools targeting cyberbullying and online forms of abuse.,0.4932631850242615,0.4859633147716522,0.5140366852283478,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
sentiment_to_policy,sentiment_claim_00491,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0025,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn,other,sentiment,3,S3,enables_or_supports,"Not having to rely on the co-location of researchers and participants made the recruitment of relevant participants easier, less expensive and enabled the involvement of people from different parts of each country.","Not having to rely on the co-location of researchers and participants made the recruitment of relevant participants easier, less expensive and enabled the involvement of people from different parts of each country.",policy_claim_03300,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique_chunk_0114,policy,2,P2,"Une coordination des acteurs nationaux et académiques qui se met en place et doit être renforcée sachants » qui pourraient, dans le meilleur des cas prendre en charge les enjeux d'acculturation pour les autres.","Une coordination des acteurs nationaux et académiques qui se met en place et doit être renforcée sachants » qui pourraient, dans le meilleur des cas prendre en charge les enjeux d'acculturation pour les autres.",0.49576079845428467,0.49005547165870667,0.5099445283412933,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
sentiment_to_policy,sentiment_claim_00726,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025_chunk_0031,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025,ireland,sentiment,2,S2,causes_or_increases,Some staff suggest that GenAI could lead to the reduction of the need for staff to be physically present.,Some staff suggest that GenAI could lead to the reduction of the need for staff to be physically present.,policy_claim_03912,policy_using_generative_ai_chunk_0008,policy,6,P6,The paper stated that generative AI allows for a potential decrease in workload thereby allowing more time for teachers.,The paper stated that generative AI allows for a potential decrease in workload thereby allowing more time for teachers.,0.5620331764221191,0.5336320996284485,0.4663679003715515,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
sentiment_to_policy,sentiment_claim_00121,sentiment_original_20251119_les_francais_lia_chunk_0008,sentiment_original_20251119_les_francais_lia,france,sentiment,8,S8,reduces_or_prevents,"Les réserves existent, mais se concentrent sur des sujets plus sensibles : l'inclusion (50 % d'avis positifs contre 32 % négatifs), les modes de consommation (50 % contre 36 %), et, surtout, la lutte contre le changement climatique, pour laquelle seuls 47 % des répondants jugent l'impact du numérique positif, contre 33 % qui l'estiment négatif.","Les réserves existent, mais se concentrent sur des sujets plus sensibles : l'inclusion (50 % d'avis positifs contre 32 % négatifs), les modes de consommation (50 % contre 36 %), et, surtout, la lutte contre le changement climatique, pour laquelle seuls 47 % des répondants jugent l'impact du numérique positif, contre 33 % qui l'estiment négatif.",policy_claim_03651,policy_oco_ai_policy_spotlight_report_chunk_0111,policy,1,P1,"Participants also highlighted other areas that are affected by AI and that children have raised concerns about but that are not currently considered in policy, such as the impact on the environment and natural resources.","Participants also highlighted other areas that are affected by AI and that children have raised concerns about but that are not currently considered in policy, such as the impact on the environment and natural resources.",0.5421171188354492,0.5381173491477966,0.46188265085220337,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
sentiment_to_policy,sentiment_claim_00704,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025_chunk_0021,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025,ireland,sentiment,2,S2,causes_or_increases,34% say they would not at all be comfortable if GenAI was used in assessments that do contribute to a learner's grades.,34% say they would not at all be comfortable if GenAI was used in assessments that do contribute to a learner's grades.,policy_claim_03178,policy_l_ia_en_ducation_cadre_d_usage_chunk_0015,policy,2,P2,"Point de vigilance : en raison de leur manque de fiabilité, l'utilisation des logiciels de détection de contenus générés par l'IA n'est pas recommandée, car elle pourrait pénaliser à tort un élève.","Point de vigilance : en raison de leur manque de fiabilité, l'utilisation des logiciels de détection de contenus générés par l'IA n'est pas recommandée, car elle pourrait pénaliser à tort un élève.",0.5652008056640625,0.5615541338920593,0.4384458661079407,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
sentiment_to_policy,sentiment_claim_00131,sentiment_original_20251119_les_francais_lia_chunk_0021,sentiment_original_20251119_les_francais_lia,france,sentiment,8,S8,requires_or_depends_on,"Et sans liberté, la responsabilité individuelle cesse d'exister car elle suppose une capacité de décision éclairée .","Et sans liberté, la responsabilité individuelle cesse d'exister car elle suppose une capacité de décision éclairée .",policy_claim_00499,policy_ai_competency_framework_for_students_chunk_0041,policy,3,P3,"They should also develop an awareness that human accountability is a legal and social responsibility when using AI to assist in decision-making, and that human choice should not be ceded to AI when making high-stakes decisions.","They should also develop an awareness that human accountability is a legal and social responsibility when using AI to assist in decision-making, and that human choice should not be ceded to AI when making high-stakes decisions.",0.5892418622970581,0.5757861137390137,0.42421388626098633,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
sentiment_to_policy,sentiment_claim_00126,sentiment_original_20251119_les_francais_lia_chunk_0016,sentiment_original_20251119_les_francais_lia,france,sentiment,8,S8,enables_or_supports,"Proposition de règlement du parlement européen et du conseil établissant des règles en vue de prévenir et de combattre les abus sexuels sur enfants, n° 2022/0155, du 11 mai 2022 ; Voir également : Le Monde, « Chat Control » : le projet européen de surveillance des messageries largement abandonné , 31 oct.","Proposition de règlement du parlement européen et du conseil établissant des règles en vue de prévenir et de combattre les abus sexuels sur enfants, n° 2022/0155, du 11 mai 2022 ; Voir également : Le Monde, « Chat Control » : le projet européen de surveillance des messageries largement abandonné , 31 oct.",policy_claim_03494,policy_oco_ai_policy_spotlight_report_chunk_0021,policy,1,P1,"European Parliament research highlights the need for legal action to tackle the threats of deepfakes, increased industry efforts, and better implementation of relevant EU legislation including the AI Act and Digital Services Act, enhanced generative AI literacy for children, educators and parents, and monitoring indicators for children's online use.","European Parliament research highlights the need for legal action to tackle the threats of deepfakes, increased industry efforts, and better implementation of relevant EU legislation including the AI Act and Digital Services Act, enhanced generative AI literacy for children, educators and parents, and monitoring indicators for children's online use.",0.6243882179260254,0.6150491833686829,0.38495081663131714,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
